Payment type,Month,Tips average amount
1,2020-01,2.0
1,2020-02,2.0
1,2020-03,1.0
1,2020-04,2.0
1,2020-05,1.0
1,2020-06,0.0
1,2020-07,0.0
1,2020-08,0.0
1,2020-09,0.0
1,2020-10,0.0
1,2020-11,0.0
1,2020-12,0.0
2,2020-01,0.0
2,2020-02,0.0
2,2020-03,0.0
2,2020-04,2.0
2,2020-05,2.0
2,2020-06,0.0
2,2020-07,0.0
2,2020-08,0.0
2,2020-09,0.0
2,2020-10,0.0
2,2020-11,2.0
2,2020-12,0.0
3,2020-01,0.0
3,2020-02,2.0
3,2020-03,2.0
3,2020-04,2.0
3,2020-05,2.0
3,2020-06,2.0
3,2020-07,2.0
3,2020-08,3.0
3,2020-09,2.0
3,2020-10,2.0
3,2020-11,-1.0
3,2020-12,0.0
4,2020-01,0.0
4,2020-02,0.0
4,2020-03,-1.0
4,2020-04,-1.0
4,2020-05,0.0
4,2020-06,2.0
4,2020-07,0.0
4,2020-08,0.0
4,2020-09,-1.0
4,2020-10,-1.0
4,2020-11,-1.0
4,2020-12,-1.0
5,2020-01,-1.0
5,2020-06,-1.0
5,2020-08,2.0
5,2020-11,0.0
,2020-01,-1.0
,2020-02,0.0
,2020-03,0.0
,2020-04,-1.0
,2020-05,2.0
,2020-06,0.0
,2020-07,0.0
,2020-08,0.0
,2020-09,0.0
,2020-10,0.0
,2020-11,0.0
,2020-12,0.0
